Age,Sex,Job,Housing,SavingAccounts,CheckingAccount,CreditAmount,Duration,Purpose,Risk
23,male,3,rent,moderate,moderate,1752,46,radio/TV,good
71,male,1,rent,moderate,little,7566,9,car,bad
53,male,0,free,moderate,little,796,19,education,good
50,male,3,own,rich,little,5407,16,radio/TV,bad
71,female,2,rent,moderate,moderate,10076,71,business,good
70,male,2,own,moderate,moderate,1802,50,business,bad
37,female,2,own,moderate,moderate,2409,35,education,good
43,male,0,own,little,moderate,9443,31,education,good
34,female,3,own,moderate,moderate,5423,17,business,good
64,male,2,own,moderate,rich,3919,49,furniture,bad
24,female,0,own,quite rich,rich,5839,24,education,good
48,female,3,rent,quite rich,moderate,14714,56,business,bad
33,male,3,free,little,little,754,34,furniture,bad
34,female,0,free,moderate,little,6049,7,business,good
35,female,0,rent,moderate,little,3232,19,radio/TV,bad
40,male,0,free,rich,little,6940,70,education,bad
61,male,3,free,little,rich,1740,41,radio/TV,good
56,female,0,own,rich,rich,6264,15,business,bad
21,male,1,free,rich,rich,14968,16,furniture,bad
32,female,1,free,rich,little,10161,26,radio/TV,bad
42,male,2,rent,moderate,rich,9706,32,furniture,good
30,male,0,free,quite rich,little,6054,13,car,bad
47,male,3,own,quite rich,rich,3988,8,furniture,good
39,female,3,free,rich,little,13824,9,radio/TV,bad
20,male,3,free,rich,rich,7805,34,furniture,good
64,male,1,rent,quite rich,little,616,55,business,bad
52,male,3,rent,quite rich,rich,5544,71,business,bad
50,male,2,free,little,rich,8574,65,furniture,good
41,male,3,rent,quite rich,moderate,6021,31,radio/TV,good
34,male,1,rent,moderate,rich,4817,38,furniture,good
67,female,0,free,little,little,10493,35,car,bad
60,female,2,free,little,rich,13112,60,education,good
42,male,2,rent,quite rich,moderate,11981,8,radio/TV,good
29,male,1,own,quite rich,rich,8542,25,radio/TV,bad
66,male,3,rent,moderate,moderate,3520,29,business,good
59,female,2,free,quite rich,rich,7278,57,car,bad
71,male,0,own,rich,rich,1475,47,furniture,good
72,male,2,own,little,moderate,11848,57,business,good
